,spy,iwm,dia,qqq,ordnum
2000-05-26,138.0,91.44,103.1,77.75,69
2000-05-30,142.5,94.81,105.4,85.56,70
2000-05-31,142.8125,95.75,105.1,83.5,71
2000-06-01,145.3125,97.31,106.5,87.38,72
2000-06-02,147.8437,102.4,107.5,93.63,73
2000-06-05,147.125,102.0,108.3,93.86,74
2000-06-06,146.4687,103.0,107.6,91.25,75
2000-06-07,147.4843,103.1,108.3,93.69,76
2000-06-08,146.9062,102.9,106.8,93.25,77
2000-06-09,146.5937,104.7,106.3,93.75,78
2000-06-12,144.875,101.6,105.7,90.75,79
2000-06-13,147.5937,102.9,106.5,94.25,80
2000-06-14,147.8437,102.4,107.3,92.13,81
2000-06-15,148.1562,102.5,106.8,93.75,82
2000-06-16,146.5937,101.9,104.5,94.25,83
2000-06-19,148.4687,104.5,105.6,98.0,84
2000-06-20,147.9375,105.2,104.8,97.63,85
2000-06-21,147.875,105.7,104.9,98.88,86
2000-06-22,145.625,102.5,104.0,95.25,87
2000-06-23,144.375,101.8,104.4,91.5,88
2000-06-26,146.2343,103.1,106.0,94.0,89
2000-06-27,145.1562,101.4,105.4,92.88,90
2000-06-28,145.5625,104.0,105.4,94.0,91
2000-06-29,144.1875,102.4,104.3,91.64,92
2000-06-30,145.2812,103.4,104.4,93.44,93
2000-07-03,147.2812,104.8,106.0,95.25,94
2000-07-05,144.625,103.6,105.0,91.56,95
2000-07-06,145.75,104.8,105.1,94.0,96
2000-07-07,148.0937,105.5,106.3,95.94,97
2000-07-10,147.8437,106.2,106.5,94.48,98
2000-07-11,148.1562,106.1,107.3,95.0,99
2000-07-12,149.125,108.2,107.8,97.25,100
2000-07-13,149.7812,108.5,108.0,98.5,101
2000-07-14,151.25,108.6,108.3,100.6,102
2000-07-17,151.0,109.0,108.0,101.8,103
2000-07-18,149.7656,107.1,107.6,99.5,104
2000-07-19,148.5625,105.3,107.2,97.25,105
2000-07-20,150.625,107.0,109.1,100.4,106
2000-07-21,147.6875,104.1,107.0,97.0,107
2000-07-24,146.8437,102.5,106.8,95.0,108
2000-07-25,147.3125,102.8,106.8,95.75,109
2000-07-26,145.875,102.6,105.5,95.63,110
2000-07-27,145.375,99.75,106.0,91.88,111
2000-07-28,142.0937,98.0,105.0,86.88,112
2000-07-31,143.0,100.5,105.0,89.44,113
2000-08-01,143.875,99.84,106.0,88.25,114
2000-08-02,144.5937,100.0,107.0,86.69,115
2000-08-03,145.5937,99.94,106.9,90.44,116
2000-08-04,146.375,100.4,107.5,90.13,117
2000-08-07,148.125,102.3,108.6,92.25,118
2000-08-08,148.6875,101.8,109.7,94.13,119
2000-08-09,147.4375,101.1,109.1,91.63,120
2000-08-10,146.7187,100.5,109.2,89.81,121
2000-08-11,147.4062,102.3,110.3,91.06,122
2000-08-14,149.2812,103.3,111.7,93.0,123
2000-08-15,149.1562,101.8,110.9,93.0,124
2000-08-16,148.625,102.4,110.5,93.94,125
2000-08-17,150.1875,103.3,110.8,95.75,126
2000-08-18,149.6875,103.1,110.4,95.25,127
2000-08-21,150.5,103.5,111.1,95.5,128
2000-08-22,150.25,103.3,111.5,95.5,129
2000-08-23,150.8437,103.2,111.5,97.06,130
2000-08-24,151.3125,104.7,112.0,98.56,131
